name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
GRANDHAVEN_NG_Michigan_Southern,ngcc,bus_409482,9.7,4.595952421,1.89,3,29.1,679.0,9.7,4,4
WESTOLIVE_C_Michigan_Southern,coal,bus_409482,1560.81,8.09392726,544.94,4,4682.43,109256.7,515.0673,12,12
WESTOLIVE_O_Michigan_Southern,oil,bus_409482,18.6,0.4915,3.99,8,55.8,1302.0,18.6,1,1
HOLLAND_O_Michigan_Southern,oil,bus_409482,24.0,0.639,5.3,8,72.0,1680.0,24.0,1,1
TRENTON_O_Michigan_Southern,oil,bus_405942,13.5,0.4721112440191388,5.390000000000001,8,40.5,945.0,13.5,1,1
WYANDOTTE_C_Michigan_Southern,coal,bus_405942,11.5,11.130731756117966,1.66,4,34.5,805.0,3.795,12,12
WYANDOTTE_NG_Michigan_Southern,ngcc,bus_405942,61.5,4.7074060116666665,24.0,3,184.5,4305.0,61.5,4,4
MELVINDALE_NG_Michigan_Southern,ngcc,bus_405942,760.0,6.2202353875,167.78,3,2280.0,53200.0,760.0,4,4
DEARBORN_O_Michigan_Southern,oil,bus_405942,5.0,0.037,1.5699999999999998,8,15.0,350.0,5.0,1,1
WARREN_O_Michigan_Southern,oil,bus_405942,65.78999999999999,0.6268333333333334,18.83,8,197.37,4605.299999999999,65.78999999999999,1,1
DETROIT_NG_Michigan_Southern,ngcc,bus_405942,142.2,5.1685595595,67.02,3,426.6,9954.0,142.2,4,4
RIVERROUGE_NG_Michigan_Southern,ngcc,bus_405942,282.6,7.379018613,71.17,3,847.8000000000001,19782.0,282.6,4,4
RIVERROUGE_C_Michigan_Southern,coal,bus_405942,650.6,16.415634564999998,192.8,4,1951.8,45542.0,214.698,12,12
RIVERROUGE_O_Michigan_Southern,oil,bus_405942,10.8,0.075125,2.82,8,32.400000000000006,756.0,10.8,1,1
WYANDOTTE_O_Michigan_Southern,oil,bus_405942,5.4,0.4721112440191388,1.4300000000000002,8,16.200000000000003,378.0,5.4,1,1
MONROE_C_Michigan_Southern,coal,bus_407222,3279.6,15.055519245,757.58,4,9838.8,229572.0,1082.268,12,12
MONROE_O_Michigan_Southern,oil,bus_407222,13.5,0.0733,3.2099999999999995,8,40.5,945.0,13.5,1,1
NEWPORT_O_Michigan_Southern,oil,bus_407222,64.0,0.4712499999999999,20.18,8,192.0,4480.0,64.0,1,1
ERIE_C_Michigan_Southern,coal,bus_407222,345.39,9.880798802,114.88,4,1036.17,24177.3,113.9787,12,12
ERIE_O_Michigan_Southern,oil,bus_407222,18.6,0.589,7.24,8,55.8,1302.0,18.6,1,1
EASTCHINA_O_Michigan_Southern,oil,bus_410792,37.41,0.080625,9.2,8,112.23,2618.7,37.41,1,1
EASTCHINA_NG_Michigan_Southern,ngcc,bus_410792,613.4999999999999,5.239984825428572,169.90999999999997,3,1840.4999999999995,42944.99999999999,613.4999999999999,4,4
SAINTCLAIR_C_Michigan_Southern,coal,bus_410792,2.0,11.130731756117966,0.97,4,6.0,140.0,0.66,12,12
EASTCHINA_C_Michigan_Southern,coal,bus_410792,2941.98,17.19770634,857.8800000000001,4,8825.94,205938.6,970.8534,12,12
COVERT_NG_Michigan_Southern,ngcc,bus_409812,1176.0,6.619461953833333,328.87,3,3528.0,82320.0,1176.0,4,4
STURGIS_NG_Michigan_Southern,ngcc,bus_409812,6.0,4.597066437,1.18,3,18.0,420.0,6.0,4,4
OTSEGO_NG_Michigan_Southern,ngcc,bus_409812,21.2,4.628767548000001,4.51,3,63.6,1484.0,21.2,4,4
KALAMAZOO_NG_Michigan_Southern,ngcc,bus_409812,22.6,3.6799581268,6.12,3,67.80000000000001,1582.0,22.6,4,4
DORR_NG_Michigan_Southern_91,ngcc,bus_409812,23.0,4.713375796,9.28,3,69.0,1610.0,23.0,4,4
ATHENS_NG_Michigan_Southern,ngcc,bus_409812,73.1,5.16463189,34.04,3,219.3,5117.0,73.1,4,4
NOTREDAME_C_Indiana,coal,bus_409812,21.1,3.2202936248,6.27,4,63.3,1477.0,6.963000000000001,12,12
NOTREDAME_O_Indiana,oil,bus_409812,7.7,0.4721112440191388,3.18,8,23.1,539.0,7.7,1,1
